LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_ID,source,Loan_Status
113.0,360.0,1.0,5849.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001002,train,Y
128.0,360.0,1.0,6091.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001003,train,N
66.0,360.0,1.0,3000.0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,LP001005,train,Y
120.0,360.0,1.0,4941.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001006,train,Y
141.0,360.0,1.0,6000.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001008,train,Y
267.0,360.0,1.0,9613.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001011,train,Y
95.0,360.0,1.0,3849.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001013,train,Y
158.0,360.0,0.0,5540.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001014,train,N
168.0,360.0,1.0,5532.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001018,train,Y
349.0,360.0,1.0,23809.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001020,train,N
70.0,360.0,1.0,3900.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001024,train,Y
109.0,360.0,1.0,4340.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001027,train,Y
200.0,360.0,1.0,11179.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001028,train,Y
114.0,360.0,1.0,4693.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001029,train,N
17.0,120.0,1.0,2385.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001030,train,Y
125.0,360.0,1.0,4950.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001032,train,Y
100.0,240.0,1.0,3596.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,LP001034,train,Y
76.0,360.0,0.0,3510.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001036,train,N
133.0,360.0,1.0,4887.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001038,train,N
115.0,360.0,1.0,6100.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001041,train,Y
104.0,360.0,0.0,7660.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001043,train,N
315.0,360.0,1.0,11580.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001046,train,Y
116.0,360.0,0.0,4511.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001047,train,N
112.0,360.0,0.0,5282.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001050,train,N
151.0,360.0,1.0,6642.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001052,train,N
191.0,360.0,1.0,9560.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001066,train,Y
122.0,360.0,1.0,5052.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001068,train,Y
110.0,360.0,1.0,5266.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001073,train,Y
35.0,360.0,1.0,1442.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001086,train,N
